tanggal,jenis_kejadian_bencana,keterangan_jkb,sumber_informasi,alamat_kejadian,kelurahan,kecamatan,wilayah,kerugian_jumlah_kk,taksiran_kerugian,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Jati Baru,Cideng,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Swasembada Barat 23,Kebon Bawang,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Mampang Jaya Poncol,Kuningan Barat,Mampang Prapatan, Kota Administrasi Jakarta Selatan,24,1500000000,,
2018-01-01,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Bukit Duri Selatan,Bukit Duri,Tebet, Kota Administrasi Jakarta Selatan,0,1152000000,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Pademangan III Gg 17,Pademangan Timur,Pademangan, Kota Administrasi Jakarta Utara,0,500000,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kebon 200 ( Titik Kenal SMP 224 ),Kamal,Kalideres, Kota Administrasi Jakarta Barat,0,200000000,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Harapan II,Cipinang Melayu,Makasar, Kota Administrasi Jakarta Timur,0,2000000,,
2018-01-01,Penyelamatan,Bencana penanganan B3 (operasi penyelamatan B3),Masyarakat Datang,Jl. Bekasi Timur I No.1,Rawa Bunga,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Yos Sudarso Blok B8 No.1,Kebon Bawang,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Otista Raya,Bidara Cina,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Pulau Pari,Pulau Pari,Kep. Seribu Selatan, Kota Administrasi Jakarta Utara,0,0,,
2018-01-01,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Lubang Buaya,Lubang Buaya,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-01,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Gedung Moratelindo, Jl. Penataran No.9",Pegangsaan ,Menteng, Kota Administrasi Jakarta Pusat,0,100000000,,
2018-01-01,Penyelamatan,Bencana Bangunan Runtuh (operasi penyelamatan Collapse Structure).,Petugas Pemadam,Jl. Bukit Duri Selatan,Bukit Duri,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kokan Permata Blok C No.20 (PT. Certisindo Jasa Prima),Kelapa Gading Barat,Kelapa Gading, Kota Administrasi Jakarta Utara,0,1000000,,
2018-01-02,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Kyai Caringin ( depan Rs Tarakan ),Cideng,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Cileduk Raya ,cipulir,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Peta Utara No. 29 A,Pegadungan,Kalideres, Kota Administrasi Jakarta Barat,0,6000000,,
2018-01-02,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Warakas I Gg 23,Papanggo,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2018-01-02,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Raya Kresek No. 09 ,Duri Kosambi,Cengkareng, Kota Administrasi Jakarta Barat,0,500000,,
2018-01-02,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,Jl. Sirsak No 2,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Palmeriam Utara,pal meriam,Matraman, Kota Administrasi Jakarta Timur,0,2500000,,
2018-01-03,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Ragunan ( Wisma Atlet DKI ),Ragunan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-03,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Elang Malindo 10 Block C1 No 14,Cipinang Melayu,Makasar, Kota Administrasi Jakarta Timur,0,0,,
2018-01-03,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Gg.Perintis,Kebon Baru,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-03,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Jl. Pegadengan Timur,Pangadegan,Pancoran, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-03,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Tanjung Duren Utara III E No 216,Tanjung Duren Utara,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,200000,,
2018-01-04,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Mampang XIV,Tegal Parang,Mampang Prapatan, Kota Administrasi Jakarta Selatan,0,25000000,,
2018-01-04,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Peralihan,Semper Timur,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2018-01-04,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. H. Sidik,Karet Kuningan,Setiabudi, Kota Administrasi Jakarta Selatan,0,150000000,,
2018-01-04,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Moh. Kahfi I, Gg. Harapan 2 No.71",Ciganjur,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-04,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Bukit Golf PA 24/25,Pondok Pinang,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-04,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Bungur No.5,Kebayoran Lama Selatan,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-05,Penyelamatan,Pohon Tumbang,Petugas Pemadam,Jl. Raya Bogor,Rambutan,Ciracas, Kota Administrasi Jakarta Timur,0,0,,
2018-01-05,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Pandan SD Kincir,Utan Kayu Selatan,Matraman, Kota Administrasi Jakarta Timur,0,0,,
2018-01-05,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl. Pedongkelan No. 12 B,Cilincing,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2018-01-05,Penyelamatan,Bencana Transportasi (operasi penyelamatan Transportasi).,Petugas Pemadam,Jl. M.Khafi 1,Jagakarsa,Jagakarsa, Kota Administrasi Jakarta Selatan,0,15000000,,
2018-01-05,Penyelamatan,Pohon Tumbang,Petugas Instansi Lain,Komp. Brimob Pasar Minggu ,Pejaten Barat,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-05,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,Jl. Prapanca 9,Petogogan,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-06,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Suplir,Cipayung,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-07,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kali Baru Timur,Utan Panjang,Kemayoran, Kota Administrasi Jakarta Pusat,1,200000000,,
2018-01-07,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. H. Asnawi,Jatipadang,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,1000000,,
2018-01-07,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat Datang,Jl. TB Simatupang Blok.A No.5,Gedong,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2018-01-07,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. H. Darpi No.20,Tugu Utara,Koja, Kota Administrasi Jakarta Utara,0,0,,
2018-01-07,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Perternakan 1 Blok B, No.17",Pondok Rangon,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-07,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Pemuda 3. No. 30,Rawamangun,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-07,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Taman Malaka Jaya,Malaka Jaya,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2018-01-07,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Pendawa,Menteng Dalam,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-07,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Gang Poso,Srengseng Sawah,Jagakarsa, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-07,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kebayoran Lama (Depan RS Medika),Kebayoran Lama Utara,Kebayoran Lama, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-08,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Lapungan Ros Barat IV No.36,Bukit Duri,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-08,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Jampea Lorong 70,Koja,Koja, Kota Administrasi Jakarta Utara,0,0,,
2018-01-08,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Melur Tugu 5 No. 18,Tugu Utara,Koja, Kota Administrasi Jakarta Utara,1,100000000,,
2018-01-08,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Komp Bermis Blok B 4,Pluit,Penjaringan, Kota Administrasi Jakarta Utara,0,2000000,,
2018-01-08,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,Jl. Tebet Barat Dalam 2 No. 26,Tebet Barat,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-08,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Cipinang Kebembem ( SMP Budhaya ),Cipinang,Pulogadung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-08,Penyelamatan,Pengendalian Hewan,Petugas Pemadam,Jl. Raya Warung Buncit No.1,Ragunan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-08,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Balai Rakyat III ,Pondok Bambu,Duren Sawit, Kota Administrasi Jakarta Timur,0,0,,
2018-01-08,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Rawa Binong,Lubang Buaya,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-09,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. Sunter Jaya,Sunter Jaya,Tanjung Priok, Kota Administrasi Jakarta Utara,0,60000000,,
2018-01-08,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Gg S,Ragunan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-09,Penyelamatan,Pertolongan Gawat Darurat (Ambulan).,Petugas Instansi Lain,Sudin Kesehatan,Bali Mester,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2018-01-09,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Lebak Para No 79B,Cijantung,Pasar Rebo, Kota Administrasi Jakarta Timur,1,50000000,,
2018-01-09,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Benda Jaya Utama No 12,Duren Sawit,Duren Sawit, Kota Administrasi Jakarta Timur,1,300000000,,
2018-01-03,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Raya Kebagusan Gg.Mansyur,Kebagusan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-10,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kali Sari II,Pekayon,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2018-01-09,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Mawar II.,Tugu Utara,Koja, Kota Administrasi Jakarta Utara,0,100000000,,
2018-01-10,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Tebet Timur Dalam G5 No 5,Tebet Timur,Tebet, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-10,Kebakaran,Bencana Kebakaran,Petugas Pemadam,Jl. Samping Perumahan Pasadena ,Cengkareng Timur,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2018-01-10,Kebakaran,Bencana Kebakaran,Masyarakat Datang, Jl. Agung Perkasa Blok. K,Sunter Agung,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2018-01-10,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. H.jubris ,Jatinegara,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-10,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Universitas Gunadharma Gg.Damai,Pulo gebang,Cakung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-10,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Gg. Mansyur No.39,Kebagusan,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-10,Bantuan Operasi,Kerja Bakti,Petugas Pemadam,Pasar Poncol,Bungur ,Senen, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-11,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,"Jl. Taman Palem Lestari, Blok F7B, No. 29",Cengkareng Barat,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2018-01-11,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl. Mirinda C6,Tegal Alur,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2018-01-11,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Ciasem 3,Rawa Barat,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,10000000,,
2018-01-11,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Kawasan Komplek TMII (Musium Keprajuritan),Ceger,Cipayung, Kota Administrasi Jakarta Timur,0,0,,
2018-01-11,Kebakaran,Bencana Kebakaran,Petugas Pemadam,"Jl. Delima, No. 33",Jati Pulo,Palmerah, Kota Administrasi Jakarta Barat,0,3000000,,
2018-01-11,Penyelamatan,Operasi Penyelamatan Lainnya,Petugas Instansi Lain,Jl. K.H. Hasyim Ashari (Samping Bank BJB),Duri Pulo,Gambir, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-12,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Rumah Dinas Dokter,Pulau Panggang,Kep. Seribu Utara, Kota Administrasi Jakarta Utara,0,0,,
2018-01-12,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Utama Raya,Cengkareng Barat,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2018-01-12,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Tidar Komplek Bukit Permai Blok I No 6,Cibubur,Ciracas, Kota Administrasi Jakarta Timur,0,800000,,
2018-01-12,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Panglima Polim XIII,Melawai,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,1000000,,
2018-01-12,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Peternakan II No 16,Kapuk,Cengkareng, Kota Administrasi Jakarta Barat,0,0,,
2018-01-12,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.batu Tulis II,Batu Ampar,Kramat Jati, Kota Administrasi Jakarta Timur,0,10000000,,
2018-01-12,Kebakaran,Bencana Kebakaran,Masyarakat Datang, Jl.Bendungan T IV,Setu,Cipayung, Kota Administrasi Jakarta Timur,0,500000000,,
2018-01-12,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Jend Ahmad Yani ( Depan Gudang garam ),Cempaka Putih Timur,Cempaka Putih, Kota Administrasi Jakarta Pusat,0,200000000,,
2018-01-12,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Kapuk Muara,Kapuk Muara,Penjaringan, Kota Administrasi Jakarta Utara,0,150000000,,
2018-01-13,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Kali Bata,Kalibata,Pancoran, Kota Administrasi Jakarta Selatan,6,700000000,,
2018-01-12,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Setia Budi V,Setiabudi,Setiabudi, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-13,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kemanggisan Jaya,Kemanggisan,Palmerah, Kota Administrasi Jakarta Barat,0,4000000,,
2018-01-13,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Mangga Besar Raya No.41,Tangki,Tamansari, Kota Administrasi Jakarta Barat,0,0,,
2018-01-13,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Al - Mubarokah I,Cipulir,Kebayoran Lama, Kota Administrasi Jakarta Selatan,1,250000000,,
2018-01-13,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Halim Perdana Kusuma No.1A,Halim Perdana Kusuma,Makasar, Kota Administrasi Jakarta Timur,0,40000000,,
2018-01-13,Penyelamatan,Bencana pada Air (operasi penyelamatan pada Air),Petugas Instansi Lain,Jl. Kali Ciliwung,Pejaten Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-13,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. Bukit Duri Barat Raya No.78 B,Bukit Duri,Tebet, Kota Administrasi Jakarta Selatan,0,1000000,,
2018-01-13,Kebakaran,Bencana Kebakaran,Jakarta Siaga 112,Jl. Tipar Timur,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2018-01-13,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Swadaya Utama,Kalideres,Kalideres, Kota Administrasi Jakarta Barat,0,1500000,,
2018-01-14,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Perempatan Mansyur No.7b,Tanjung Duren Utara,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,0,,
2018-01-14,Bantuan Operasi,Kerja Bakti,Petugas Instansi Lain,Jl. Karang Anyar Raya,Karang Anyar ,Sawah Besar, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-14,Penyelamatan,Operasi Penyelamatan Lainnya,Petugas Instansi Lain,Jl. Fachrudin,Kampung Bali ,Tanah Abang, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-14,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Pejaten Barat Mas V, Komp. Villa Pejaten Mas, Blok K",Pejaten Barat,Pasar Minggu, Kota Administrasi Jakarta Selatan,1,5000000,,
2018-01-14,Kebakaran,Bencana Kebakaran,Petugas Instansi Lain,Jl. Sunter Jaya 1,Sunter Jaya,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2018-01-14,Bantuan Operasi,Kesiagaan/Penjagaan,Petugas Instansi Lain,Stadion Sepak Bola Gelora Bung Karno,Senayan,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-15,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Rambutan,Pejaten Barat,Pasar Minggu, Kota Administrasi Jakarta Selatan,1,10000000,,
2018-01-14,Kebakaran,Bencana Kebakaran,Masyarakat Datang,jl. Raya Kalisari II ,Kalisari,Pasar Rebo, Kota Administrasi Jakarta Timur,0,0,,
2018-01-14,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl;. Bendungan Melayu No. 72 ,Tugu Selatan,Koja, Kota Administrasi Jakarta Utara,0,0,,
2018-01-14,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Yos Suidarso Kv 85,Sunter Jaya,Tanjung Priok, Kota Administrasi Jakarta Utara,0,2000000000,,
2018-01-15,Kebakaran,Bencana Kebakaran,Masyarakat Datang,TMII Ajungan Sumatra Selatan,Ceger,Cipayung, Kota Administrasi Jakarta Timur,0,80000000,,
2018-01-15,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.RS.Fatmawati Raya,Cipete Utara,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-15,Penyelamatan,Pohon Tumbang,Masyarakat Datang,Jl.Danau Toba,Bendungan Hilir ,Tanah Abang, Kota Administrasi Jakarta Pusat,0,15000000,,
2018-01-15,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Bendungan Melayu Selatan No 80,Tugu Selatan,Koja, Kota Administrasi Jakarta Utara,0,0,,
2018-01-15,Penyelamatan,Pengendalian Hewan,Masyarakat Datang,Jl.Angin Puyuh No 73a Komplek TNI AL,Cilincing,Cilincing, Kota Administrasi Jakarta Utara,0,0,,
2018-01-15,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Yos Sudarso Kav 85 PT.PLN,Sunter Jaya,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2018-01-15,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl.Yos Sudarso Kav 85 PT.PLN,Sunter Jaya,Tanjung Priok, Kota Administrasi Jakarta Utara,0,0,,
2018-01-15,Penyelamatan,Bencana Bangunan Runtuh (operasi penyelamatan Collapse Structure).,Masyarakat Datang,"Jl.Jend Sudirman No52,53 ( BEI )",Senayan,Kebayoran Baru, Kota Administrasi Jakarta Selatan,0,0,,
2018-01-16,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Pasar ikan, Museum Bahari",Penjaringan,Penjaringan, Kota Administrasi Jakarta Utara,0,0,,
2018-01-16,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Paseban Raya No.27,Paseban ,Senen, Kota Administrasi Jakarta Pusat,0,0,,
2018-01-16,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Otista Raya No.84,Kampung Mester/Melayu,Jatinegara, Kota Administrasi Jakarta Timur,0,0,,
2018-01-16,Kebakaran,Bencana Kebakaran,Masyarakat Datang,Jl. Kapuk Kamal No.88,Tegal Alur,Kalideres, Kota Administrasi Jakarta Barat,0,0,,
2018-01-16,Kebakaran,Bencana Kebakaran,Masyarakat Datang,"Jl. Tanjung Duren, Gg. Rambutan Timur V",Tanjung Duren Utara,Grogol Petamburan, Kota Administrasi Jakarta Barat,0,1000000,,
